HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
gloucester,sale,23/24,12,32,20
saracens,exeter-chiefs,23/24,12,40,22
bristol,bath,23/24,12,57,44
northampton,newcastle,23/24,12,38,13
harlequins,leicester,23/24,12,19,20
bath,sale,23/24,13,42,24
saracens,harlequins,23/24,13,52,7
exeter-chiefs,newcastle,23/24,13,25,16
bristol,northampton,23/24,13,52,21
leicester,gloucester,23/24,13,25,27
sale,exeter-chiefs,23/24,14,41,5
harlequins,bath,23/24,14,40,36
gloucester,bristol,23/24,14,24,33
newcastle,leicester,23/24,14,13,19
northampton,saracens,23/24,14,41,30
bristol,newcastle,23/24,15,85,14
sale,harlequins,23/24,15,37,31
exeter-chiefs,bath,23/24,15,14,26
northampton,leicester,23/24,15,40,17
saracens,gloucester,23/24,15,46,24
gloucester,exeter-chiefs,23/24,16,17,38
newcastle,sale,23/24,16,14,35
harlequins,northampton,23/24,16,41,32
leicester,bristol,23/24,16,19,21
bath,saracens,23/24,16,12,15
exeter-chiefs,harlequins,23/24,17,58,26
bristol,saracens,23/24,17,20,41
northampton,gloucester,23/24,17,90,0
newcastle,bath,23/24,17,17,28
sale,leicester,23/24,17,31,22
bath,northampton,23/24,18,43,12
gloucester,newcastle,23/24,18,54,14
harlequins,bristol,23/24,18,28,53
leicester,exeter-chiefs,23/24,18,40,22
saracens,sale,23/24,18,10,20
bath,sale,23/24,SF,31,23
northampton,saracens,23/24,SF,22,20
northampton,bath,23/24,F,25,21
sale,harlequins,24/25,1,12,11
gloucester,saracens,24/25,1,26,35
exeter-chiefs,leicester,24/25,1,14,17
bath,northampton,24/25,1,38,16
newcastle,bristol,24/25,1,3,24
leicester,bath,24/25,2,15,20
northampton,exeter-chiefs,24/25,2,30,24
saracens,sale,24/25,2,45,26
harlequins,newcastle,24/25,2,28,14
bristol,gloucester,24/25,2,41,44
saracens,exeter-chiefs,24/25,3,29,14
newcastle,leicester,24/25,3,10,42
bath,bristol,24/25,3,26,36
northampton,harlequins,24/25,3,33,29
sale,gloucester,24/25,3,31,27
harlequins,saracens,24/25,4,17,10
leicester,northampton,24/25,4,24,8
gloucester,bath,24/25,4,31,55
exeter-chiefs,bristol,24/25,4,35,40
sale,newcastle,24/25,4,43,10
leicester,gloucester,24/25,5,29,26
harlequins,bath,24/25,5,24,26
bristol,saracens,24/25,5,35,37
newcastle,exeter-chiefs,24/25,5,24,18
northampton,sale,24/25,5,29,26
exeter-chiefs,harlequins,24/25,6,19,36
saracens,leicester,24/25,6,29,32
bath,sale,24/25,6,40,13
gloucester,newcastle,24/25,6,36,7
bristol,northampton,24/25,6,31,23
sale,leicester,24/25,7,39,25
bath,exeter-chiefs,24/25,7,19,15
northampton,gloucester,24/25,7,17,25
harlequins,bristol,24/25,7,24,48
newcastle,saracens,24/25,7,17,12
saracens,northampton,24/25,8,39,24
newcastle,bath,24/25,8,15,40
sale,exeter-chiefs,24/25,8,28,10
leicester,bristol,24/25,8,24,54
gloucester,harlequins,24/25,8,14,0
exeter-chiefs,gloucester,24/25,9,22,15
harlequins,leicester,24/25,9,34,34
northampton,newcastle,24/25,9,61,0
bath,saracens,24/25,9,68,10
bristol,sale,24/25,9,0,38
northampton,bath,24/25,10,35,34
saracens,bristol,24/25,10,35,26
leicester,exeter-chiefs,24/25,10,28,15
gloucester,sale,24/25,10,36,20
newcastle,harlequins,24/25,10,14,38
bristol,newcastle,24/25,11,55,35
sale,bath,24/25,11,23,32
exeter-chiefs,saracens,24/25,11,31,22
gloucester,leicester,24/25,11,38,31
harlequins,northampton,24/25,11,22,19
bath,gloucester,24/25,12,42,26
bristol,exeter-chiefs,24/25,12,52,38
saracens,harlequins,24/25,12,12,23
newcastle,sale,24/25,12,15,39
northampton,leicester,24/25,12,0,33
leicester,saracens,24/25,13,22,29
gloucester,bristol,24/25,13,53,28
bath,harlequins,24/25,13,47,28
exeter-chiefs,newcastle,24/25,13,17,15
sale,northampton,24/25,13,27,24
bristol,leicester,24/25,14,19,36
saracens,gloucester,24/25,14,36,14
harlequins,sale,24/25,14,29,43
exeter-chiefs,bath,24/25,14,24,26
newcastle,northampton,24/25,14,34,35
sale,saracens,24/25,15,25,7
bath,newcastle,24/25,15,55,19
leicester,harlequins,24/25,15,40,7
northampton,bristol,24/25,15,48,31
gloucester,exeter-chiefs,24/25,15,79,17
leicester,sale,24/25,16,44,34
saracens,newcastle,24/25,16,75,28
bristol,bath,24/25,16,36,14
harlequins,gloucester,24/25,16,38,19
exeter-chiefs,northampton,24/25,16,42,14
newcastle,gloucester,24/25,17,12,26
sale,bristol,24/25,17,41,27
northampton,saracens,24/25,17,28,24
bath,leicester,24/25,17,43,15
harlequins,exeter-chiefs,24/25,17,24,22
gloucester,northampton,24/25,18,41,26
exeter-chiefs,sale,24/25,18,26,30
bristol,harlequins,24/25,18,56,26
leicester,newcastle,24/25,18,42,20
saracens,bath,24/25,18,36,26
bath,bristol,24/25,SF,34,20
leicester,sale,24/25,SF,21,16
bath,leicester,24/25,F,23,21
sale,gloucester,25/26,1,27,10
harlequins,bath,25/26,1,31,47
newcaslte,saracens,25/26,1,17,39
northampton,exeter-chiefs,25/26,1,33,33
bristol,leicester,25/26,1,42,24
bath,sale,25/26,2,28,16
exeter-chiefs,newcastle,25/26,2,38,15
leicester,harlequins,25/26,2,29,19
saracens,bristol,25/26,2,50,17
gloucester,northampton,25/26,2,35,37
sale,newcastle,25/26,3,57,5
bristol,exeter-chiefs,25/26,3,18,14
northampton,leicester,25/26,3,32,26
bath,gloucester,25/26,3,38,17
harlequins,saracens,25/26,3,20,14
gloucester,bristol,25/26,4,34,49
newcaslte,northampton,,4,19,36
leicester,bath,,4,22,20
saracens,sale,,4,65,14
exeter-chiefs,harlequins,,4,38,0
northampton,saracens,,5,N/A,N/A
exeter-chiefs,gloucester,,5,N/A,N/A
harlequins,newcastle,,5,N/A,N/A
bath,bristol,,5,N/A,N/A
leicester,sale,,5,N/A,N/A
newcaslte,leicester,,6,N/A,N/A
sale,exeter-chiefs,,6,N/A,N/A
gloucester,harlequins,,6,N/A,N/A
bristol,northampton,,6,N/A,N/A
saracens,bath,,6,N/A,N/A
leicester,gloucester,,7,N/A,N/A
northampton,sale,,7,N/A,N/A
saracens,exeter-chiefs,,7,N/A,N/A
harlequins,bristol,,7,N/A,N/A
newcaslte,bath,,7,N/A,N/A
sale,harlequins,,8,N/A,N/A
bristol,newcastle,,8,N/A,N/A
gloucester,saracens,,8,N/A,N/A
bath,northampton,,8,N/A,N/A
exeter-chiefs,leicester,,8,N/A,N/A
bristol,sale,,9,N/A,N/A
newcaslte,gloucester,,9,N/A,N/A
bath,exeter-chiefs,,9,N/A,N/A
northampton,harlequins,,9,N/A,N/A
leicester,saracens,,9,N/A,N/A
exeter-chiefs,bristol,,10,N/A,N/A
gloucester,bath,,10,N/A,N/A
harlequins,leicester,,10,N/A,N/A
sale,northampton,,10,N/A,N/A
saracens,newcastle,,10,N/A,N/A
bath,saracens,,11,N/A,N/A
exeter-chiefs,sale,,11,N/A,N/A
harlequins,gloucester,,11,N/A,N/A
leicester,bristol,,11,N/A,N/A
northampton,newcastle,,11,N/A,N/A
newcaslte,exeter-chiefs,,12,N/A,N/A
sale,bath,,12,N/A,N/A
gloucester,leicester,,12,N/A,N/A
bristol,harlequins,,12,N/A,N/A
saracens,northampton,,12,N/A,N/A
bath,harlequins,,13,N/A,N/A
bristol,gloucester,,13,N/A,N/A
exeter-chiefs,northampton,,13,N/A,N/A
sale,saracens,,13,N/A,N/A
leicester,newcastle,,13,N/A,N/A
gloucester,exeter-chiefs,,14,N/A,N/A
harlequins,sale,,14,N/A,N/A
newcaslte,bristol,,14,N/A,N/A
northampton,bath,,14,N/A,N/A
saracens,leicester,,14,N/A,N/A
bristol,saracens,,15,N/A,N/A
exeter-chiefs,bath,,15,N/A,N/A
gloucester,sale,,15,N/A,N/A
leicester,northampton,,15,N/A,N/A
newcaslte,harlequins,,15,N/A,N/A
bath,newcastle,,16,N/A,N/A
harlequins,exeter-chiefs,,16,N/A,N/A
northampton,bristol,,16,N/A,N/A
sale,leicester,,16,N/A,N/A
saracens,gloucester,,16,N/A,N/A
bristol,bath,,17,N/A,N/A
leicester,exeter-chiefs,,17,N/A,N/A
newcaslte,sale,,17,N/A,N/A
northampton,gloucester,,17,N/A,N/A
saracens,harlequins,,17,N/A,N/A
bath,leicester,,18,N/A,N/A
exeter-chiefs,saracens,,18,N/A,N/A
gloucester,newcastle,,18,N/A,N/A
harlequins,northampton,,18,N/A,N/A
sale,bristol,,18,N/A,N/A
N/A,N/A,,SF,N/A,N/A
N/A,N/A,,SF,N/A,N/A
N/A,N/A,,F,N/A,N/A
