MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
1081,newcastle,sale,15/16,22,15,21
1082,harlequins,exeter-chiefs,15/16,22,24,62
1083,gloucester,northampton,15/16,22,20,28
1084,bath,leicester,15/16,22,38,27
1085,saracens,leicester,15/16,SF,44,17
1086,exeter-chiefs,wasps,15/16,SF,34,23
1087,saracens,exeter-chiefs,15/16,F,28,20
1088,newcastle,sale,16/17,1,19,17
1089,gloucester,leicester,16/17,1,31,38
1090,saracens,worcester,16/17,1,35,3
1091,northampton,bath,16/17,1,14,18
1092,harlequins,bristol,16/17,1,21,19
1093,wasps,exeter-chiefs,16/17,1,25,20
1094,worcester,gloucester,16/17,2,23,23
1095,sale,harlequins,16/17,2,19,10
1096,leicester,wasps,16/17,2,22,34
1097,bath,newcastle,16/17,2,58,5
1098,exeter-chiefs,saracens,16/17,2,13,34
1099,bristol,northampton,16/17,2,10,32
